;Identificador do acidente;Data;Dia da semana;Horário;Estado;BR;km;Município;Causa do acidente;Tipo do acidente;Gravidade do acidente;Fase do dia;Sentido da via;Condição do tempo;Tipo de pista;Traçado da via;uso_solo;Número de passageiros;Número de cavaleiro;Número de condutor;Número de pedestre
32848;609025;2024-06-21;sexta-feira;17:00:00;SP;116.0;156.0;SAO JOSE DOS CAMPOS;Trafegar com motocicleta (ou similar) entre as faixas;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
32849;609026;2024-06-21;sexta-feira;16:30:00;SP;116.0;155.0;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;Reta;Urbano;0;0;2;0
32881;609060;2024-06-21;sexta-feira;07:40:00;SP;116.0;147.0;SAO JOSE DOS CAMPOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
32891;609071;2024-06-21;sexta-feira;20:30:00;SP;116.0;148.0;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
32892;609072;2024-06-21;sexta-feira;20:50:00;SP;116.0;230.0;SAO PAULO;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Múltipla;Reta;Urbano;1;0;1;0
32939;609121;2024-06-21;sexta-feira;22:45:00;SP;101.0;18.0;UBATUBA;Faróis desregulados;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Ensolarado;Simples;Reta;Rural;0;0;1;0
32941;609123;2024-06-21;sexta-feira;22:30:00;SP;116.0;57.0;GUARATINGUETA;Deficiência do Sistema de Iluminação/Sinalização;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
32946;609128;2024-06-21;sexta-feira;23:40:00;SP;116.0;149.0;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Múltipla;Reta;Urbano;0;0;2;0
32984;609167;2024-06-22;sábado;06:30:00;SP;153.0;63.0;SAO JOSE DO RIO PRETO;Condutor deixou de manter distância do veículo da frente;Colisão com objeto;Com Vítimas Feridas;Amanhecer;Crescente;Ensolarado;Dupla;"Reta;Aclive";Urbano;1;0;2;0
32986;609169;2024-06-22;sábado;06:30:00;SP;116.0;284.8;ITAPECERICA DA SERRA;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;1;0;1;0
